feature,tau_s,median_up,median_down,cliffs_up_vs_down,n_up,n_down
l1_imbalance,-1.6,-0.31368309259414673,-0.24324332177639008,-0.032167335681712705,313,117
l1_imbalance,-1.4,-0.24137912690639496,-0.15555556118488312,-0.02534065153873466,313,117
l1_imbalance,-1.2,-0.2542372941970825,-0.29024389386177063,0.03473416891947245,313,117
l1_imbalance,-1.0,-0.27797824144363403,-0.2898431122303009,0.020916960214084845,313,117
l1_imbalance,-0.8,-0.23529407382011414,-0.2863469123840332,0.011141148521340183,313,117
l1_imbalance,-0.6,-0.2718445956707001,-0.3163245916366577,0.04085087791158082,313,117
l1_imbalance,-0.4,-0.24390247464179993,-0.2815534472465515,0.01900548865405094,313,117
l1_imbalance,-0.2,-0.28571441769599915,-0.3417230546474457,0.08295786570546948,313,117
l1_imbalance,0.0,-0.2799999713897705,-0.3417230546474457,0.04472843450479225,313,117
near_imbalance,-15.0,0.0,0.0,0.12058654870156471,313,117
near_imbalance,-14.8,0.0,0.0,0.11152071215968973,313,117
near_imbalance,-14.6,0.0,0.0,0.07776958575680615,313,117
near_imbalance,-14.4,0.0,0.0,0.06089402255536447,313,117
near_imbalance,-14.2,0.0,0.0,0.06924988394636955,313,117
near_imbalance,-14.0,0.0,0.0,0.06725649217661989,313,117
near_imbalance,-13.8,0.0,0.0,0.02771633762049097,313,117
near_imbalance,-13.6,0.0,0.0,0.0295185822342372,313,117
near_imbalance,-13.4,0.0,0.0,0.04076895770186506,313,117
near_imbalance,-13.2,0.0,0.0,0.05032631550203437,313,117
near_imbalance,-13.0,0.0,0.0,0.0626962671691107,313,117
near_imbalance,-12.8,0.0,0.0,0.0712159689795473,313,117
near_imbalance,-12.6,0.0,0.0,0.06034788782392608,313,117
near_imbalance,-12.4,0.0,0.0,0.05341197673466036,313,117
near_imbalance,-12.2,0.0,0.0,0.06698342481090092,313,117
near_imbalance,-12.0,0.0,0.0,0.08257557139346283,313,117
near_imbalance,-11.8,0.0,0.0,0.08216597034488404,313,117
near_imbalance,-11.6,0.0,0.0,0.0492067393025859,313,117
near_imbalance,-11.4,0.0,0.0,0.06280549411539837,313,117
near_imbalance,-11.2,0.0,0.0,0.08740886376669121,313,117
near_imbalance,-11.0,0.0,0.0,0.07943529668769278,313,117
near_imbalance,-10.8,0.0,0.0,0.07746921165451526,313,117
near_imbalance,-10.6,0.0,0.0,0.07228093170585193,313,117
near_imbalance,-10.4,0.0,0.0,0.06452581851942885,313,117
near_imbalance,-10.2,0.0,0.0,0.07009639278009883,313,117
near_imbalance,-10.0,0.0,0.0,0.02383878102727932,313,117
near_imbalance,-9.8,0.0,0.0,0.012588405559651461,313,117
near_imbalance,-9.6,0.0,0.0,0.010403866633898584,313,117
near_imbalance,-9.4,0.0,0.0,-0.0019387782966058253,313,117
near_imbalance,-9.2,0.0,0.0,0.004942519319516059,313,117
near_imbalance,-9.0,0.0,0.0,0.02569563911416939,313,117
near_imbalance,-8.8,0.0,0.0,0.0352529969143387,313,117
near_imbalance,-8.6,0.0,0.0,0.024876437017012032,313,117
near_imbalance,-8.4,0.0,0.0,0.03265885694000703,313,117
near_imbalance,-8.2,0.0,0.0,-0.0003549875754348397,313,117
near_imbalance,-8.0,0.0,0.0,-0.011195761994484021,313,117
near_imbalance,-7.8,0.0,0.0,0.005925561836104931,313,117
near_imbalance,-7.6,0.0,0.0,-0.007563966030419755,313,117
near_imbalance,-7.4,0.0,0.0,0.028016711722782084,313,117
near_imbalance,-7.2,0.0,0.0,0.02637830752846737,313,117
near_imbalance,-7.0,0.0,0.0,0.045219955763086794,313,117
near_imbalance,-6.8,0.0,0.0,0.09289751781764566,313,117
near_imbalance,-6.6,0.0,0.0,0.07618579503563527,313,117
near_imbalance,-6.4,0.0,0.0,0.051855492750061405,313,117
near_imbalance,-6.2,0.0,0.0,0.05524152808497851,313,117
near_imbalance,-6.0,0.0,0.0,0.05900985773190248,313,117
near_imbalance,-5.8,0.0,0.0,0.07883454848311078,313,117
near_imbalance,-5.6,0.0,0.0,0.07348242811501593,313,117
near_imbalance,-5.4,0.0,0.0,0.07774227902023423,313,117
near_imbalance,-5.2,0.0,0.0,0.09685699462057284,313,117
near_imbalance,-5.0,0.0,0.0,0.09418093443652542,313,117
near_imbalance,-4.8,0.0,0.0,0.09183255509134103,313,117
near_imbalance,-4.6,0.0,0.0,0.11575325632833611,313,117
near_imbalance,-4.4,0.0,0.0,0.1126402883591382,313,117
near_imbalance,-4.2,0.0,0.0,0.0957374184211246,313,117
near_imbalance,-4.0,0.0,0.0,0.11228530078370325,313,117
near_imbalance,-3.8,0.0,0.0,0.06428005789028157,313,117
near_imbalance,-3.6,0.0,0.0,0.08123754130143901,313,117
near_imbalance,-3.4,0.0,0.0,0.08678080882553729,313,117
near_imbalance,-3.2,0.0,0.0,0.06193167854509718,313,117
near_imbalance,-3.0,0.0,0.0,0.04844215067857238,313,117
near_imbalance,-2.8,0.0,0.0,0.06870374921493139,313,117
