precision,accuracy,ev_per_trade,max_trades,max_total
0.716,0.75,-0.3489754435498037,2522,-880.2369428085831
0.716,0.8,-0.24557037391429115,2522,-619.4135409067177
0.716,0.85,-0.14216530427877894,2522,-358.59013900485303
0.716,0.9,-0.038760234643266556,2522,-97.76673710298799
0.716,0.95,0.06464483499224571,2522,163.05666479887677
0.716,1.0,0.16804990462775832,2522,423.88006670074236
0.8,0.5,-0.7148325641369442,2257,-1613.7345135391515
0.8,0.55,-0.6072312789979252,2257,-1370.824612337816
0.8,0.6,-0.4996299938589063,2257,-1127.914711136481
0.8,0.65,-0.3920287087198873,2257,-885.0048099351457
0.8,0.7,-0.2844274235808686,2257,-642.0949087338108
0.8,0.75,-0.17682613844184952,2257,-399.1850075324753
0.8,0.8,-0.06922485330283046,2257,-156.27510633113977
0.8,0.85,0.03837643183618833,2257,86.63479487019515
0.8,0.9,0.14597771697520728,2257,329.54469607153044
0.8,0.95,0.25357900211422607,2257,572.4545972728654
0.8,1.0,0.36118028725324514,2257,815.3644984742009
0.9,0.5,-0.5348703884340618,2006,-1073.306579457684
0.9,0.55,-0.4222736086480111,2006,-847.3623746870089
0.9,0.6,-0.30967682886196063,2006,-621.4181699163343
0.9,0.65,-0.19708004907591006,2006,-395.4739651456595
0.9,0.7,-0.08448326928985968,2006,-169.52976037498507
0.9,0.75,0.02811351049619093,2006,56.41444439568979
0.9,0.8,0.14071029028224152,2006,282.3586491663646
0.9,0.85,0.253307070068292,2006,508.30285393703923
0.9,0.9,0.3659038498543425,2006,734.2470587077139
0.9,0.95,0.47850062964039297,2006,960.1912634783885
0.9,1.0,0.5910974094264436,2006,1186.1354682490635
1.0,0.5,-0.35490821273117923,1806,-640.9642321925097
1.0,0.55,-0.237315938298097,1806,-428.5925845663632
1.0,0.6,-0.11972366386501498,1806,-216.22093694021706
1.0,0.65,-0.0021313894319328064,1806,-3.8492893140706483
1.0,0.7,0.1154608850011492,1806,208.52235831207545
1.0,0.75,0.23305315943423138,1806,420.8940059382219
1.0,0.8,0.35064543386731356,1806,633.2656535643683
1.0,0.85,0.46823770830039557,1806,845.6373011905144
1.0,0.9,0.5858299827334777,1806,1058.008948816661
1.0,0.95,0.7034222571665598,1806,1270.380596442807
1.0,1.0,0.821014531599642,1806,1482.7522440689534
